
2,9.94
3,14.91
5,46.275
6,55.53
7,59.235
9,62.2275
10,62.345
12,65.7225
13,71.265
14,75.2825
16,90.285
17,95.0225
19,95.2
20,96.9725
22,122.05
23,128.8025
24,139.55
26,152.6975
27,164.17
29,175.745
30,183.63
31,187.945
33,209.34
34,214.795
35,226.493333333
37,240.6625
38,253.523333333
40,267.97
41,279.743333333
42,282.813333333
44,288.64
45,289.653333333
47,305.93
48,309.033333333
50,345.435
51,352.563333333
52,371.895
54,391.585833333
55,413.005
57,434.103333333
59,468.980416667
60,475.833333333
61,498.667083333
63,515.185833333
64,527.057083333
65,528.9025
67,551.770416667
68,554.2525
69,571.030416667
71,580.6525
73,594.63375
74,594.2725
75,598.99375
77,606.235
78,625.89375
79,629.695
81,645.22375
82,646.585
84,650.08875
85,649.045
86,662.035416667
88,670.5775
90,679.536666667
91,679.7575
93,702.866666667
94,705.9175
96,746.251666667
97,752.7475
99,754.931666667
100,753.7975
101,771.538333333
103,785.56
104,794.838333333
106,803.8525
107,816.068333333
108,820.129166667
111,854.188333333
112,859.929166667
114,877.318333333
115,880.959166667
116,885.391666667
118,887.836666667
119,890.981666667
121,902.589166667
122,922.721666667
124,940.546666667
125,948.391666667
126,950.556666667
128,959.831666667
129,961.446666667
131,965.171666667
132,965.676666667
133,981.658333333
136,1000.03888889
138,1001.28333333
